Date : 2024-07-16 19:50:36
Directory : c:\Users\TheF0x\Documents\GitHub\Graduation-Project
Total : 10361 files,  2768946 codes, 239865 comments, 515251 blanks, all 3524062 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      9,703 |  2,505,230 |    196,449 |    496,413 |  3,198,092 |
| C                |         14 |    147,597 |     34,234 |      8,046 |    189,877 |
| CSV              |         44 |     49,006 |          0 |         42 |     49,048 |
| JavaScript       |        105 |     20,908 |      4,328 |      5,275 |     30,511 |
| C++              |         81 |     14,290 |      3,991 |      2,514 |     20,795 |
| JSON             |         12 |      8,164 |          0 |        120 |      8,284 |
| CSS              |         30 |      6,626 |        255 |      1,246 |      8,127 |
| HTML             |        258 |      6,070 |         79 |        957 |      7,106 |
| XML              |         54 |      5,679 |         21 |         52 |      5,752 |
| TSV              |          8 |      2,810 |          0 |          8 |      2,818 |
| reStructuredText |         17 |      1,024 |         45 |        319 |      1,388 |
| toml             |          1 |        762 |          0 |         40 |        802 |
| Markdown         |         10 |        208 |          0 |         57 |        265 |
| Properties       |          7 |        163 |         64 |         59 |        286 |
| Database         |          1 |        116 |          0 |          1 |        117 |
| PowerShell       |          1 |        108 |        360 |         35 |        503 |
| Batch            |          4 |         74 |         10 |         31 |        115 |
| Ini              |          3 |         32 |          0 |          8 |         40 |
| Visual Basic     |          3 |         31 |          4 |         13 |         48 |
| XSL              |          1 |         24 |         24 |          8 |         56 |
| Shell Script     |          2 |         13 |          0 |          4 |         17 |
| pip requirements |          1 |          9 |          0 |          2 |         11 |
| Lua              |          1 |          2 |          1 |          1 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                |     10,361 |  2,768,946 |    239,865 |    515,251 |  3,524,062 |
| . (Files)                                                                                                                                                                                        |          5 |        166 |          1 |         12 |        179 |
| heart_disease                                                                                                                                                                                    |         19 |        500 |         17 |        108 |        625 |
| heart_disease (Files)                                                                                                                                                                            |          8 |        273 |          7 |         46 |        326 |
| heart_disease\migrations                                                                                                                                                                         |         11 |        227 |         10 |         62 |        299 |
| heart_disease_api                                                                                                                                                                                |          5 |        107 |         16 |         54 |        177 |
| models                                                                                                                                                                                           |          8 |     11,954 |          0 |          7 |     11,961 |
| models\diabetes                                                                                                                                                                                  |          4 |      2,648 |          0 |          3 |      2,651 |
| models\heart                                                                                                                                                                                     |          2 |      4,681 |          0 |          2 |      4,683 |
| models\hypertension                                                                                                                                                                              |          2 |      4,625 |          0 |          2 |      4,627 |
| venv                                                                                                                                                                                             |     10,324 |  2,756,219 |    239,831 |    515,070 |  3,511,120 |
| venv (Files)                                                                                                                                                                                     |          1 |          5 |          0 |          1 |          6 |
| venv\Lib                                                                                                                                                                                         |     10,316 |  2,755,114 |    239,358 |    514,892 |  3,509,364 |
| venv\Lib\site-packages                                                                                                                                                                           |     10,316 |  2,755,114 |    239,358 |    514,892 |  3,509,364 |
| venv\Lib\site-packages (Files)                                                                                                                                                                   |          8 |      2,258 |        204 |        526 |      2,988 |
| venv\Lib\site-packages\IPython                                                                                                                                                                   |        275 |     54,753 |      6,159 |     13,855 |     74,767 |
| venv\Lib\site-packages\IPython (Files)                                                                                                                                                           |          6 |        303 |         61 |         88 |        452 |
| venv\Lib\site-packages\IPython\core                                                                                                                                                              |        114 |     35,555 |      3,719 |      8,649 |     47,923 |
| venv\Lib\site-packages\IPython\core (Files)                                                                                                                                                      |         49 |     20,216 |      2,449 |      4,723 |     27,388 |
| venv\Lib\site-packages\IPython\core\magics                                                                                                                                                       |         16 |      4,930 |        491 |      1,237 |      6,658 |
| venv\Lib\site-packages\IPython\core\tests                                                                                                                                                        |         49 |     10,409 |        779 |      2,689 |     13,877 |
| venv\Lib\site-packages\IPython\core\tests (Files)                                                                                                                                                |         48 |     10,401 |        777 |      2,686 |     13,864 |
| venv\Lib\site-packages\IPython\core\tests\daft_extension                                                                                                                                         |          1 |          8 |          2 |          3 |         13 |
| venv\Lib\site-packages\IPython\extensions                                                                                                                                                        |          6 |      1,291 |        125 |        333 |      1,749 |
| venv\Lib\site-packages\IPython\extensions (Files)                                                                                                                                                |          3 |        697 |         64 |        207 |        968 |
| venv\Lib\site-packages\IPython\extensions\tests                                                                                                                                                  |          3 |        594 |         61 |        126 |        781 |
| venv\Lib\site-packages\IPython\external                                                                                                                                                          |          5 |        394 |         47 |        116 |        557 |
| venv\Lib\site-packages\IPython\external (Files)                                                                                                                                                  |          3 |        385 |         47 |        112 |        544 |
| venv\Lib\site-packages\IPython\external\tests                                                                                                                                                    |          2 |          9 |          0 |          4 |         13 |
| venv\Lib\site-packages\IPython\lib                                                                                                                                                               |         22 |      4,236 |        431 |      1,072 |      5,739 |
| venv\Lib\site-packages\IPython\lib (Files)                                                                                                                                                       |         11 |      3,157 |        339 |        810 |      4,306 |
| venv\Lib\site-packages\IPython\lib\tests                                                                                                                                                         |         11 |      1,079 |         92 |        262 |      1,433 |
| venv\Lib\site-packages\IPython\sphinxext                                                                                                                                                         |          4 |        950 |        225 |        288 |      1,463 |
| venv\Lib\site-packages\IPython\terminal                                                                                                                                                          |         31 |      4,519 |        508 |      1,093 |      6,120 |
| venv\Lib\site-packages\IPython\terminal (Files)                                                                                                                                                  |          9 |      1,937 |        191 |        418 |      2,546 |
| venv\Lib\site-packages\IPython\terminal\pt_inputhooks                                                                                                                                            |         11 |        672 |        193 |        201 |      1,066 |
| venv\Lib\site-packages\IPython\terminal\shortcuts                                                                                                                                                |          4 |      1,138 |         65 |        258 |      1,461 |
| venv\Lib\site-packages\IPython\terminal\tests                                                                                                                                                    |          7 |        772 |         59 |        216 |      1,047 |
| venv\Lib\site-packages\IPython\testing                                                                                                                                                           |         19 |      2,094 |        278 |        648 |      3,020 |
| venv\Lib\site-packages\IPython\testing (Files)                                                                                                                                                   |          6 |        671 |        120 |        234 |      1,025 |
| venv\Lib\site-packages\IPython\testing\plugin                                                                                                                                                    |          9 |      1,125 |        106 |        318 |      1,549 |
| venv\Lib\site-packages\IPython\testing\tests                                                                                                                                                     |          4 |        298 |         52 |         96 |        446 |
| venv\Lib\site-packages\IPython\utils                                                                                                                                                             |         68 |      5,411 |        765 |      1,568 |      7,744 |
| venv\Lib\site-packages\IPython\utils (Files)                                                                                                                                                     |         49 |      4,028 |        593 |      1,208 |      5,829 |
| venv\Lib\site-packages\IPython\utils\tests                                                                                                                                                       |         19 |      1,383 |        172 |        360 |      1,915 |
| venv\Lib\site-packages\PIL                                                                                                                                                                       |        102 |     23,644 |      3,542 |      5,606 |     32,792 |
| venv\Lib\site-packages\PyJWT-2.8.0.dist-info                                                                                                                                                     |          1 |          5 |          0 |          3 |          8 |
| venv\Lib\site-packages\adodbapi                                                                                                                                                                  |         20 |      5,346 |        517 |        867 |      6,730 |
| venv\Lib\site-packages\adodbapi (Files)                                                                                                                                                          |          9 |      2,587 |        248 |        450 |      3,285 |
| venv\Lib\site-packages\adodbapi\examples                                                                                                                                                         |          4 |        127 |         11 |         40 |        178 |
| venv\Lib\site-packages\adodbapi\test                                                                                                                                                             |          7 |      2,632 |        258 |        377 |      3,267 |
| venv\Lib\site-packages\asgiref                                                                                                                                                                   |         10 |      1,312 |        152 |        273 |      1,737 |
| venv\Lib\site-packages\asttokens                                                                                                                                                                 |          7 |      1,015 |        326 |        245 |      1,586 |
| venv\Lib\site-packages\colorama                                                                                                                                                                  |         13 |      1,288 |        106 |        298 |      1,692 |
| venv\Lib\site-packages\colorama (Files)                                                                                                                                                          |          6 |        662 |         79 |        147 |        888 |
| venv\Lib\site-packages\colorama\tests                                                                                                                                                            |          7 |        626 |         27 |        151 |        804 |
| venv\Lib\site-packages\comm                                                                                                                                                                      |          2 |        283 |         15 |         81 |        379 |
| venv\Lib\site-packages\contourpy                                                                                                                                                                 |         18 |      2,603 |         47 |        430 |      3,080 |
| venv\Lib\site-packages\contourpy (Files)                                                                                                                                                         |         10 |      1,519 |         30 |        254 |      1,803 |
| venv\Lib\site-packages\contourpy\util                                                                                                                                                            |          8 |      1,084 |         17 |        176 |      1,277 |
| venv\Lib\site-packages\cycler                                                                                                                                                                    |          1 |        445 |         24 |        105 |        574 |
| venv\Lib\site-packages\dateutil                                                                                                                                                                  |         18 |      5,727 |        506 |      1,416 |      7,649 |
| venv\Lib\site-packages\dateutil (Files)                                                                                                                                                          |          8 |      2,126 |        110 |        341 |      2,577 |
| venv\Lib\site-packages\dateutil\parser                                                                                                                                                           |          3 |      1,510 |        174 |        409 |      2,093 |
| venv\Lib\site-packages\dateutil\tz                                                                                                                                                               |          5 |      1,916 |        211 |        608 |      2,735 |
| venv\Lib\site-packages\dateutil\zoneinfo                                                                                                                                                         |          2 |        175 |         11 |         58 |        244 |
| venv\Lib\site-packages\debugpy                                                                                                                                                                   |        264 |    141,471 |     31,293 |     25,180 |    197,944 |
| venv\Lib\site-packages\debugpy (Files)                                                                                                                                                           |          4 |        171 |         44 |         81 |        296 |
| venv\Lib\site-packages\debugpy\_vendored                                                                                                                                                         |        234 |    136,466 |     30,659 |     23,749 |    190,874 |
| venv\Lib\site-packages\debugpy\_vendored (Files)                                                                                                                                                 |          4 |        211 |         41 |         66 |        318 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd                                                                                                                                                  |        230 |    136,255 |     30,618 |     23,683 |    190,556 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd (Files)                                                                                                                                          |          9 |      4,156 |        612 |      1,192 |      5,960 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydev_bundle                                                                                                                                    |         26 |      3,716 |        598 |      1,159 |      5,473 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydev_bundle (Files)                                                                                                                            |         25 |      3,479 |        561 |      1,079 |      5,119 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify                                                                                                                           |          1 |        237 |         37 |         80 |        354 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydev_runfiles                                                                                                                                  |          9 |      1,628 |        225 |        490 |      2,343 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydevd_bundle                                                                                                                                   |         67 |     66,671 |     13,735 |      9,365 |     89,771 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydevd_bundle (Files)                                                                                                                           |         57 |     44,216 |     13,679 |      6,730 |     64,625 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter                                                                                                                    |          7 |     22,141 |         21 |      2,552 |     24,714 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_concurrency_analyser                                                                                                       |          3 |        314 |         35 |         83 |        432 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydevd_frame_eval                                                                                                                               |         27 |     20,731 |      5,554 |      2,390 |     28,675 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydevd_frame_eval (Files)                                                                                                                       |          7 |     14,749 |      5,057 |      1,379 |     21,185 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydevd_frame_eval\vendored                                                                                                                      |         20 |      5,982 |        497 |      1,011 |      7,490 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydevd_frame_eval\vendored (Files)                                                                                                              |          2 |         36 |          3 |         12 |         51 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydevd_frame_eval\vendored\bytecode                                                                                                             |         17 |      5,945 |        494 |        999 |      7,438 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydevd_frame_eval\vendored\bytecode (Files)                                                                                                     |          7 |      1,892 |        191 |        468 |      2,551 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydevd_frame_eval\vendored\bytecode-0.13.0.dev0.dist-info                                                                                       |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\_pydevd_frame_eval\vendored\bytecode\tests                                                                                                       |         10 |      4,053 |        303 |        531 |      4,887 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydev_ipython                                                                                                                                    |         15 |      1,379 |        354 |        406 |      2,139 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydev_sitecustomize                                                                                                                              |          1 |        149 |         51 |         38 |        238 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_attach_to_process                                                                                                                         |         65 |     36,697 |      9,392 |      8,278 |     54,367 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_attach_to_process (Files)                                                                                                                 |          7 |        667 |        120 |        202 |        989 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_attach_to_process\common                                                                                                                  |          9 |      1,055 |        242 |        328 |      1,625 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_attach_to_process\linux_and_mac                                                                                                           |          5 |        116 |         29 |         50 |        195 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_attach_to_process\winappdbg                                                                                                               |         34 |     34,094 |      8,756 |      7,481 |     50,331 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_attach_to_process\winappdbg (Files)                                                                                                       |         18 |     21,819 |      2,878 |      5,307 |     30,004 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_attach_to_process\winappdbg\win32                                                                                                         |         16 |     12,275 |      5,878 |      2,174 |     20,327 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_attach_to_process\windows                                                                                                                 |         10 |        765 |        245 |        217 |      1,227 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_plugins                                                                                                                                   |         11 |      1,128 |         97 |        365 |      1,590 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_plugins (Files)                                                                                                                           |          4 |        870 |         76 |        286 |      1,232 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_plugins\extensions                                                                                                                        |          7 |        258 |         21 |         79 |        358 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_plugins\extensions (Files)                                                                                                                |          2 |         29 |          0 |          4 |         33 |
| venv\Lib\site-packages\debugpy\_vendored\pydevd\pydevd_plugins\extensions\types                                                                                                                  |          5 |        229 |         21 |         75 |        325 |
| venv\Lib\site-packages\debugpy\adapter                                                                                                                                                           |          7 |      1,688 |        256 |        384 |      2,328 |
| venv\Lib\site-packages\debugpy\common                                                                                                                                                            |          9 |      2,006 |        167 |        624 |      2,797 |
| venv\Lib\site-packages\debugpy\launcher                                                                                                                                                          |          6 |        504 |         98 |        145 |        747 |
| venv\Lib\site-packages\debugpy\server                                                                                                                                                            |          4 |        636 |         69 |        197 |        902 |
| venv\Lib\site-packages\decorator-5.1.1.dist-info                                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\django                                                                                                                                                                    |      1,168 |    147,145 |     14,421 |     27,745 |    189,311 |
| venv\Lib\site-packages\django (Files)                                                                                                                                                            |          3 |        174 |          9 |         44 |        227 |
| venv\Lib\site-packages\django\apps                                                                                                                                                               |          3 |        489 |        111 |        118 |        718 |
| venv\Lib\site-packages\django\conf                                                                                                                                                               |        172 |      3,113 |      1,051 |        458 |      4,622 |
| venv\Lib\site-packages\django\conf (Files)                                                                                                                                                       |          2 |        593 |        273 |        173 |      1,039 |
| venv\Lib\site-packages\django\conf\locale                                                                                                                                                        |        167 |      2,458 |        776 |        268 |      3,502 |
| venv\Lib\site-packages\django\conf\locale (Files)                                                                                                                                                |          1 |        627 |          0 |          3 |        630 |
| venv\Lib\site-packages\django\conf\locale\ar                                                                                                                                                     |          2 |          7 |         13 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\ar_DZ                                                                                                                                                  |          2 |         22 |          6 |          3 |         31 |
| venv\Lib\site-packages\django\conf\locale\az                                                                                                                                                     |          2 |         23 |          6 |          3 |         32 |
| venv\Lib\site-packages\django\conf\locale\bg                                                                                                                                                     |          2 |          6 |         14 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\bn                                                                                                                                                     |          2 |         22 |          9 |          3 |         34 |
| venv\Lib\site-packages\django\conf\locale\bs                                                                                                                                                     |          2 |          8 |         12 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\ca                                                                                                                                                     |          2 |         23 |          6 |          3 |         32 |
| venv\Lib\site-packages\django\conf\locale\ckb                                                                                                                                                    |          2 |         10 |         10 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\cs                                                                                                                                                     |          2 |         33 |          9 |          3 |         45 |
| venv\Lib\site-packages\django\conf\locale\cy                                                                                                                                                     |          2 |         26 |          6 |          3 |         35 |
| venv\Lib\site-packages\django\conf\locale\da                                                                                                                                                     |          2 |         19 |          6 |          3 |         28 |
| venv\Lib\site-packages\django\conf\locale\de                                                                                                                                                     |          2 |         20 |          8 |          3 |         31 |
| venv\Lib\site-packages\django\conf\locale\de_CH                                                                                                                                                  |          2 |         20 |         13 |          4 |         37 |
| venv\Lib\site-packages\django\conf\locale\el                                                                                                                                                     |          2 |         27 |          6 |          3 |         36 |
| venv\Lib\site-packages\django\conf\locale\en                                                                                                                                                     |          2 |         40 |         22 |          5 |         67 |
| venv\Lib\site-packages\django\conf\locale\en_AU                                                                                                                                                  |          2 |         26 |         14 |          3 |         43 |
| venv\Lib\site-packages\django\conf\locale\en_GB                                                                                                                                                  |          2 |         26 |         14 |          3 |         43 |
| venv\Lib\site-packages\django\conf\locale\en_IE                                                                                                                                                  |          2 |         30 |          6 |          3 |         39 |
| venv\Lib\site-packages\django\conf\locale\eo                                                                                                                                                     |          2 |         37 |          6 |          3 |         46 |
| venv\Lib\site-packages\django\conf\locale\es                                                                                                                                                     |          2 |         23 |          6 |          3 |         32 |
| venv\Lib\site-packages\django\conf\locale\es_AR                                                                                                                                                  |          2 |         23 |          6 |          3 |         32 |
| venv\Lib\site-packages\django\conf\locale\es_CO                                                                                                                                                  |          2 |         24 |          2 |          2 |         28 |
| venv\Lib\site-packages\django\conf\locale\es_MX                                                                                                                                                  |          2 |         24 |          2 |          2 |         28 |
| venv\Lib\site-packages\django\conf\locale\es_NI                                                                                                                                                  |          2 |         24 |          2 |          2 |         28 |
| venv\Lib\site-packages\django\conf\locale\es_PR                                                                                                                                                  |          2 |         23 |          2 |          4 |         29 |
| venv\Lib\site-packages\django\conf\locale\et                                                                                                                                                     |          2 |          6 |         14 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\eu                                                                                                                                                     |          2 |         11 |          9 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\fa                                                                                                                                                     |          2 |         10 |         10 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\fi                                                                                                                                                     |          2 |         28 |          6 |          4 |         38 |
| venv\Lib\site-packages\django\conf\locale\fr                                                                                                                                                     |          2 |         20 |          6 |          3 |         29 |
| venv\Lib\site-packages\django\conf\locale\fr_BE                                                                                                                                                  |          2 |         25 |          6 |          3 |         34 |
| venv\Lib\site-packages\django\conf\locale\fr_CA                                                                                                                                                  |          2 |         23 |          6 |          3 |         32 |
| venv\Lib\site-packages\django\conf\locale\fr_CH                                                                                                                                                  |          2 |         25 |          6 |          3 |         34 |
| venv\Lib\site-packages\django\conf\locale\fy                                                                                                                                                     |          2 |          0 |         20 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\ga                                                                                                                                                     |          2 |          6 |         14 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\gd                                                                                                                                                     |          2 |          9 |         11 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\gl                                                                                                                                                     |          2 |         10 |         10 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\he                                                                                                                                                     |          2 |          9 |         11 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\hi                                                                                                                                                     |          2 |          6 |         14 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\hr                                                                                                                                                     |          2 |         35 |          7 |          4 |         46 |
| venv\Lib\site-packages\django\conf\locale\hu                                                                                                                                                     |          2 |         23 |          6 |          3 |         32 |
| venv\Lib\site-packages\django\conf\locale\id                                                                                                                                                     |          2 |         39 |          6 |          6 |         51 |
| venv\Lib\site-packages\django\conf\locale\ig                                                                                                                                                     |          2 |         25 |          6 |          3 |         34 |
| venv\Lib\site-packages\django\conf\locale\is                                                                                                                                                     |          2 |          8 |         12 |          3 |         23 |
| venv\Lib\site-packages\django\conf\locale\it                                                                                                                                                     |          2 |         36 |          6 |          3 |         45 |
| venv\Lib\site-packages\django\conf\locale\ja                                                                                                                                                     |          2 |         10 |         10 |          3 |         23 |
